id,topic,slug
JLNUN540nn4lYj6ImKKV,12,8-will-a-nuclear-weapon-be-detonate
9shBHEjRilDD7TwsuClZ,0,will-destiny-reach-600k-subscribers-f4af7ec9bbed
9SrLDYflNCm8gRhnENGA,1,who-will-be-the-republican-presiden-f919d704855c
gWpv2r2278LqkOVgYcEB,15,leagues-season-4-who-will-survive-i
6Mbxuu6YkcvC2NmvUcBJ,1,will-ron-desantis-be-the-2024-repub
CAgwteNEO9lN7K3N7Bjo,-1,who-will-win-wimbledon-male-singles
fJz4D1WsHgDmpB26AzO4,-1,current-bitcoin-price
EygA0P2reULSDzKiIkXF,3,will-ai-outcompete-best-humans-in-c-c91105439712
a6R5Ihyf8uJ9dxt0K5BS,-1,who-will-place-1st-in-masters-leagu
GWPeaRStAN4NqwEuS6Ic,16,will-we-have-the-first-roomtemperat
JRzyleybZUTR8GHXs7ug,1,will-either-joe-biden-or-donald-tru
xmXSWZrhg24pWGrBL4rd,0,will-destiny-post-a-video-in-januar
7hBL43KYwmoSeceZclSV,-1,who-is-the-top-trader-on-manifold-a
gCfymOFu30aaK22rUVqd,-1,how-many-matches-will-djokovic-win
cAm8teiLI3YtT0rkR6Mr,-1,manifold-haiku-which-word-comes-aft
BcJbQTDX1rdmaLYGKUOz,3,will-an-ai-get-gold-on-any-internat
0wlu71Dx7Z9KC5pLSk2d,3,will-a-prompt-that-enables-gpt4-to
CImI7JWS3X6xQjJZPKKo,3,will-ai-wipe-out-humanity-before-th-6d1e8126d974
YvVqSYEdyiYn7Mdj4oCc,3,will-ai-be-a-major-topic-during-the
5IsADopY5vCfms3Lsbq1,-1,who-will-win-antagonist-of-the-year
NIQlBaP3fDuQ7VGjmidd,12,will-a-nuclear-weapon-be-detonated-af0ba4d66245
TiUdxGs8Qx6Tgagb2vW1,3,will-gpt4-have-over-1-trillion-para
C0Elg8tcJALYHDRKnH57,-1,what-will-be-the-ratio-of-barbies-d
paIE1N2MQoF0wpKjmFzh,16,is-the-room-temperature-superconduc
OINLeUW7vQMU58j2indn,-1,how-many-signups-will-threads-have
kH3jZZVhq6g0QBHjvRqg,-1,manifold-may-showcase-which-markets
b98of9WhXy0dJzhZlZah,-1,will-erdogan-win-the-2023-turkish-p
aZn4kn9dIv5wjQSbVzdk,-1,current-apple-market-cap-in-b-perma
iew0lloCfGQai0JV34X5,12,will-a-nuclear-weapon-be-detonated-41dfff460cab
WY3xb9n0BBZ3DAkPc8Az,0,will-the-nick-fuentes-bridge-be-rec
uTcBeWZR7fQ9hwOERI2l,1,which-counties-in-washington-will-t
kmsC5UZAxBpj1QXDVxcr,4,will-elon-musk-buy-twitter-this-yea
3a9YMOnlZi3NOoiEhGNy,1,will-dan-win-the-boty-buddy-of-the
ZPqP5AsMwEkbrj5kpXVT,7,17-at-the-end-of-2023-will-predicti
6caU1Z2qBNtNdmhkAu1y,2,am-i-pretty
Ua0kzjbcBjwSySES4hYt,1,will-donald-trump-win-the-2024-us-p
msPU5gY5s5LOZhJWDzmS,2,each-choice-on-this-market-will-res-e677d588eab9
ZZcEvpuJtr6YEXfyaKbs,11,who-will-win-the-queen-of-the-mount
YBxwKfe5eY2Ynw1ACGYI,2,will-sbf-plead-guilty
bZ2zLI5hSnrsAvMUP8nI,3,will-the-will-there-be-another-lett
7VRWSwC8iqfFt2MWAxkS,-1,who-will-promote-to-masters-from-di
DreezzZ09K5d4ee1E64l,4,will-elon-musk-step-down-from-being
7EKcAT8ULPgQO1EqR4nv,0,will-destiny-finish-factorio-in-the
DXj8aKV4P4JCRx918yeA,1,will-dr-oz-be-elected-to-the-us-sen
xYRoSpdVGD5TzHCYiw7C,4,will-elon-musk-be-twitters-ceo-thro
6RyOm66ek1SyMj7le40t,2,will-this-markets-probability-be-at
A319ydGB1B7f4PMOROL3,3,in-2028-will-an-ai-be-able-to-gener
QjJUWZk331CuSSO8J2y0,-1,will-china-reach-100000-daily-covid
rU68foE9DivkE8WsjzC7,1,will-the-gop-control-the-us-senate
SsAdHNNaI9hRRMe1XqgG,1,will-donald-trump-win-the-2024-pres
SmzyKeC8zlLszuH39Tw5,-1,will-google-search-include-a-chatbo-ccc13e521ab6
iMo8p1Mo7eq5xgof9SGm,15,leagues-s2-diamond-aggressive-greml-e45296e02d1d
8XfRIOfakDQPR5T0Tpms,4,will-donald-trump-tweet-once-in-202
vJ4QYaOfNdxbhAXcCRPa,-1,will-the-whales-vs-minnows-market-r
FdJuSdH2sMvRd1cNACV9,3,will-there-be-another-wellrecognize
NEpTIkMlf9EZY9PBTyB3,-1,arbitrary-arbitrage-market-1-out-of
6dXuwlg3D1cZzgjrx3R7,-1,will-eliezer-yudkowsky-write-a-twee
Dyb52N1bIvShBWOrS0Yu,-1,in-what-range-will-btc-close-at-on
gKuI8RHSOxAuzZqPiAp8,5,what-nba-team-will-have-the-most-re
BGuVWAvADayenPOl0r9g,2,will-this-markets-value-ever-hit-10
AW2L8BZFlPlvpXOmDkkF,-1,how-many-traders-is-this-market-goi
u1wRqeN0FqWtel4oIrEx,-1,china-officially-abandons-covid-zer
Zj5agn5qrD9Qsz4k80EW,6,will-the-us-and-germany-both-send-t
4MkPyu5D9MRLPREODSD7,7,did-covid19-come-from-a-laboratory
ECA6jGSGvozWX2WTOUPC,7,14-will-there-be-more-than-25-milli
6Hdcbw4ClJstVRKpkOli,6,will-ukraine-recapture-the-city-of
mKuKAAsV3OCAEnhPwTCp,10,will-vladimir-putin-still-be-the-le
u99DSpH8GfD83UEpEYvt,0,will-destiny-reach-609k-subscribers
VlmLDw9qjQLNtcYESAyb,-1,will-barbies-achieve-90-or-higher-o
c838Eam4S0SXU6B7z8Ut,0,will-destiny-reach-600k-subscribers-99e4d1352f37
PmneW8MckKzKLUPmZvkI,14,who-will-win-the-tournament-8-bambe
UHnT1eQTCQO14dnJjlYB,-1,what-is-the-second-word-in-a-succes
DdpRHQrL4BzhCwdKBgtr,5,which-team-will-win-the-202223-nba
f7ILZzgjkTpYuHwdhHY2,4,donald-trumps-return-on-twitter-wil-27dcf6a68db5
GJTLnS8ItArmLg6tZF6z,2,antiwhale-aktion-will-isaac-kings-w
qsndtS2SUWsdu7KGQl0A,2,will-hans-niemann-be-officially-fou
B4R9ypoxIYoiPpbTUa6z,-1,is-levi-hmys
1IBrgJ6IlwBIaJ7xdQ5c,-1,current-microsoft-market-cap-in-b-p
Ba3JaDnQVGTDyFREyinZ,6,will-russia-control-bakhmut-by-apri
inH7cXD3p4vJoXyQNXvM,0,lex-fridmans-podcast-episode-with-d
mm3Sve91tUzQ1G39ZxTq,0,will-destiny-talk-with-lav-on-strea
Pj1zROfk0A3TLuhiyFaQ,-1,will-china-invade-taiwan-in-2022
Qqsym26PSqOdIRDi9t9j,2,will-there-be-10000-trades-on-this
lm9I9rJ2CHBQsyPo5vcY,16,will-a-roomtemperature-atmospheric
xTMnUHNSZF0pxDIsE5Se,9,by-the-end-of-2023-will-substantial
U2Xgp60MLjLVmoNt3DRo,0,will-destiny-reach-610k-subscribers-f6cf1c1a7f11
EAskhd2AEqJAztngb4kz,14,who-will-win-the-2023-leagues-cup
ikSUiiNS8MwAI75RwEJf,1,who-will-win-the-2024-us-presidenti-8c1c8b2f8964
TR1IlkXbrJ7a8iCJGD8u,6,will-ukraine-sever-the-land-bridge
pZ4YeVjHyvfYPhZATvR7,1,will-donald-trump-announce-he-is-ru
QKFpHGWpxEpnIo87Nr94,19,will-sweden-join-nato-before-2024
nOXCmJFNsLx08PjOc4Qk,3,in-2028-will-ai-be-at-least-as-big
kE3s25Im16P5lcnjWOgh,16,will-the-roomtemperature-supercondu
NuWjKNfEizJPlYIsgNcG,0,will-the-game-hogwarts-legacy-get-m
oEz12tul7VVlSKwyQ55j,2,will-this-market-be-in-the-interval
RnzTxpnUSsbfPG8Ec6BO,-1,current-alphabet-google-market-cap
v27j5DnDz6FWvFg2FNm4,13,who-will-be-the-top-4-of-20232024-p
wpMhiT8ZpOTR529Mcje4,0,will-destiny-start-a-league-of-lege
CSEZwm9wEO2GSSfH663T,2,binance-collapses-before-the-end-of
2kIiHFTnkp5taBAnp6yc,9,when-will-trump-be-imprisoned
1I36ipUdZIdhC77ZMzDl,1,will-kevin-mccarthy-be-the-next-spe
WP0aQ1g9GWSrN9w6nw9D,15,what-will-be-my-final-rank-within-d
VTY2rqrdgjCqKRjEX7YG,8,which-country-will-win-the-2022-fif
1bevxI1liAskJCxE3TJh,4,when-will-twitter-actually-collapse
nW74kbNNfmv76ndrFSdS,1,will-john-fetterman-win-the-pennsyl
ygSA3CPXGY5NMyDYoYmA,0,will-destiny-be-ranked-grand-master
o9NkCaQUzNqQGM2ffXit,12,will-any-nuclear-weapon-be-detonate
Y78omdm66Mp2qj7JNKOH,3,will-neuralink-implant-a-chip-in-a
fsQWYOrvTkLibgAKjsSa,17,will-jimmy-carter-still-be-alive-by-0848d7a16d07
ieIbqFDlQlnKh7PKAQT1,2,the-answers-are-boolean-variables-w
muMNVyixYmDXq2d1FwbZ,1,who-will-win-the-us-2024-democratic
onMAJ1OtuHSRdIXwxW2p,-1,will-2023-be-the-hottest-year-on-re
4BcogKpEWa3xHc2VgDQG,3,will-gpt4-be-a-dense-model
JIE3b4eZqQHlQ23ugQzc,5,will-the-boston-celtics-win-the-fin
PuaKfkf8TWhy18blwGc3,17,will-jimmy-carter-be-alive-on-june
cBm7e6asIOHO1wHSn8ez,1,who-will-be-the-republican-presiden-7bf11c066154
zNwOdAwGvkACjtMCaSBv,2,when-will-the-human-population-drop
KvNCRMSJLvwRYT0OmcAk,1,will-joe-biden-be-reelected-in-2024
rhQYVU0QlJWOdXTAv32M,0,will-destiny-and-melina-get-divorce
5ID3Jppfsrk0khjFg0RU,2,will-manifold-hit-10000-active-user-e999d9083a8f
qy4Pujoc7k2G03cb7Vnh,-1,current-amazon-market-cap-in-b-perm
x2e7wqcGvSX57YCaKJ5M,4,will-twitter-suffer-a-major-outage
F5a6DluE9xI5ToEU7NxX,0,will-destiny-stream-hogwarts-legacy
XsGwFaKdCPSy5zRJ54Jj,3,what-will-be-the-first-year-that-an
S2nlPtWWBMT3wDy6L56Y,0,will-keffals-publicly-apologize-to
XNVdtrFIbQvcNhGXueGl,1,will-donald-trump-be-the-2024-repub
CxGwM1NZ8A91OFCQAJKi,-1,will-sbf-return-to-the-us-by-the-en
4eSUQyVX5UH0y1QqRlQM,3,will-there-be-realistic-ai-generate
2nrXyUBPqxYGMj9Na2r4,11,how-many-matches-will-alcaraz-win-a
w62AOypqlCf2UE4jyZfZ,3,what-will-be-the-gold-medal-cutoff
3XN17HvygPDpMznLeMsb,2,will-the-market-resolve-yes
QtiuewAO21ZCCScIh4Iv,3,what-will-be-the-bronze-medal-cutof
DyWQzCTTlssqFl2EMho0,2,will-a-single-shooting-incident-kil
qezMNqrQqmfF9nxGosnf,18,who-will-win-manifold-plays-poker
JetNCOdTpcm4LzrkJqeY,-1,will-arsenal-win-the-premier-league
78pAzPyBqJf11Pietz0R,0,will-destiny-post-a-video-in-februa-857cf91900cb
248t0u45GbdaQpAuDOZ2,16,will-the-lk99-room-temp-ambient-pre-17fc7cb7a2a0
QkCtxZOcLtJe8q2vrs7s,-1,will-erdogan-win-the-2023-turkish-p-8691b1f6a772
vlOBuPVOa7MkXvIGQPCO,11,how-many-riders-will-wear-the-yello
KtZKCyLpbzEn8QOtuxQd,1,will-jair-bolsonaro-be-reelected-pr
Q53GZWACqm9LxQMv0FiQ,3,is-bings-chatbot-gpt4
z9SYiQzQKr9ZrYnGqNyA,1,will-raphael-warnock-be-reelected-t
aFHCm6eRXqlLZkQQb1Ho,0,will-destiny-redye-his-blue-hair-ye
jGdOLIVWI5ktZstPn2tQ,1,will-the-republican-nominee-be-eith
pbGWQwKULxS4dAzAOdFg,5,sport-2023-celtics-win-nba-finals
bEOGXdJjS4ld48XDMAqy,7,40-will-spacexs-starship-reach-orbi
hogjwpLGGp1f4ETNSjfC,10,vladimir-putin-will-still-be-presid
kqp3H7OucZV34H1NMRrO,-1,who-will-win-the-2022-nobel-prize-i-06567845b79f
oyPzvLJhPLwKbfBrmPUL,13,will-manchester-city-win-the-premie
e8jReMN0PAcICzSsXZe0,0,will-destiny-still-have-blue-hair-o
Hb1ObYB1ONHzFFNLacMR,3,by-the-end-of-2026-will-we-have-tra
nAuWvKA0ez4faRYVHV5z,1,will-joe-biden-seek-a-second-term-i
CnUPcXOO1oWtugSWAZuZ,-1,will-mrgirls-investigation-conclude
EWMNpKfuADYZDw4NoOtS,2,how-long-will-rplace-last
m5U1v7c9KElMeeFnY6DW,1,will-a-democrat-win-the-2022-us-sen
jHYXAYuJmXqHKlekDq4Z,3,what-will-be-the-silver-medal-cutof
YwDaKnx2QUU1P1ogMx7l,3,will-a-text-prompt-based-ai-music-g
H8pfYi1AeXKPdQQxEvYW,4,will-tiktok-be-banned-in-the-us-or
3xJlQzzYVMqTSN3xZvBC,4,what-will-the-biggest-twitterlike-a
de1n5TmSe2VdmyCHid6D,-1,who-will-make-it-to-the-mens-single
evK7aAHzkCWn9JfJOx99,12,will-north-korea-conduct-a-nuclear-36f06f22f954
i3de5CE4h6u8UPxkWhXF,6,will-russia-launch-a-military-attac
3ncDd8B8RKHLwAbOh5ho,-1,how-many-steps-can-i-take-in-a-24ho
DuD07jj704tyHCtcqFI1,-1,manifold-haiku-which-word-comes-aft-9b744265bc44
sJnxqZZWl88OEPxbdXwX,-1,will-this-yudkowsky-tweet-hold-up
lnCtJwIgkzz5hf9lJhPt,1,will-a-republican-win-the-2022-ariz
gx4KLFk9TC2vYImzaP6P,5,when-will-season-3s-random-closing
yIwmeSCEvJM2grTKCnZp,-1,m1000-subsidy-who-are-the-14-most-i-11d2d1d658bd
651bllqzv9oYr7IDwLdr,-1,will-bitcoin-close-the-year-above-1
XwTjyzWA9eFJta2TiwLh,4,will-omnidestiny-get-unbanned-from
uka3KvS89TlRyHgRQ1Tp,9,will-trump-be-indicted-by-march-31-4c8adb0a72fa
SZQH87RNsqa1kplkPn5F,-1,will-either-man-back-out-of-the-elo
iHsGfgyZfexXnkgHubtM,13,will-manchester-city-win-the-premie-c99281ee9be4
5eAXDA98XwOsTwQqVNyS,-1,this-market-resolves-yes-when-an-ar
Ps6ptYRid0kvK3tDvJ1b,1,will-blake-masters-win-the-arizona
nO6C7bM5aQm8nWH5rgKg,9,will-donald-trump-be-indicted-for-a
AIKDx21A7UWLqNvjil5m,2,will-we-have-a-speaker-of-the-house
MCgukDx7QRzehF2uoy8k,3,will-ai-agents-be-used-to-develop-s
bsrIiwjW0NbHxDKDhygU,1,will-rafael-warnock-win-the-senate
aCOh9TqCYAxSxzVwjyuc,10,if-ukraine-recaptures-cherson-in-20-abc72a4594fc
n1qLozVI40L566NDNOW0,14,super-bowl-lviii-2024
tS85Pp65vJHwDTfbvuvU,0,who-wins-episode-6-of-kick-or-keep
cxdi2amEVJeMkIC8PxWB,12,will-a-nuclear-weapon-be-detonated-5b3361923e29
C8DKb94Kh7dGRm2IRWN1,-1,will-apple-release-an-ar-headset-in
AQTHVGO9BJUqtGSYINSl,19,11-will-any-new-country-join-nato-i
TbJ60QQohdwKGO37UTbZ,8,will-france-eliminate-england-at-th
VN1RfimX7PJUnHhYNDiF,3,will-the-leftright-culture-war-come
UNaE54EweswtuQu9Ayvd,1,will-a-democrat-win-the-2022-us-sen-3d2432ba6d79
12zE2bkjPKl9GZLzmiBd,-1,will-texas-have-blackouts-this-wint
l2Pci4rwD2S50eFGZiCj,18,is-the-probability-of-dying-in-the
nN1KPuTtEfncqvjuY1FQ,11,who-will-win-the-polka-dot-climber
eGkG9eNua53vdtq70eoX,0,will-destiny-publish-a-manifesto-in
Y4vhREX7KDcmTNK8isPl,1,will-lula-da-silva-win-the-2022-bra-897543938207
RPOZPYwVja9q2lF9Qyxo,9,will-trump-be-indicted-but-not-arre
1sQFF7liE5Iw5ePbH3GM,17,will-jimmy-carter-become-a-centenar
E8gvaSQgJCiqdP3RAtIP,0,will-n99m-rejoin-our-groupchat-by-t
CfYcp3NjOb5GzMAqYErz,9,will-donald-trump-be-charged-with-v
0GswU1qy80Sk1UogWuKR,3,if-artificial-general-intelligence
DNzubF32XlM12HyZBRpF,-1,will-biden-be-president-on-915-reso
tbPBj3qDZ2RuMezy3VWX,-1,44-will-google-meta-amazon-or-apple
v2B2bNMKHeFikYqwZ4w6,1,will-ron-desantis-be-the-republican
xtPMdE35FyiaQDvOMAeV,1,will-the-gop-control-the-us-house-o
A3gaE5R2cseAria4zANR,0,will-destiny-still-be-playing-facto
agCipvhIjNz4AKiSIono,19,international-affairs-2023-turkey-a
g5Rxd6IIczt7p8NZtTuw,2,current-ethereum-price
YX9ZjC9te9W7dX3vp4o9,-1,what-happened-to-the-titan-sub-afte
8G4kqCsdh1KbDdIFga5x,1,will-recep-tayyip-erdogan-be-reelec
T6KCGyNA2s8hZqZn3qIL,2,will-catnee-still-be-the-1-alltime
KcJqzpvFHP9g8XR90Sxr,11,who-will-win-the-2023-tour-de-franc-5701e4c2ac41
Qjg5VGJG0Qc34eu8CXTu,-1,now-that-ive-reached-my-goal-will-i
Hm1I4w00r6wQ0KPWHE7j,0,will-destiny-finish-factorio-by-feb
PkROncBBtV79XWyEcfC7,4,will-elon-musk-be-teslas-ceo-throug
AQZwx0IyMHJOLBEZ9BEc,6,will-the-ukraine-take-back-kherson
CWR0Ee1nLkS8DXXjJsFo,2,will-manifold-hit-10000-active-user-1094099de567
6KnwKcgj2VaP9lo3TMWt,2,disguisedtoast-pointcrow
kg6Z6RTUMxC9CN6lkb4C,1,will-ron-desantis-be-the-winner-of-e2599c73554e
7GJmdx2kAsqTiusZWppI,7,6-will-the-kerch-bridge-be-destroye
ZjVi7fvnhEzsnjVBv0Dp,0,will-destiny-be-on-the-joe-rogan-ex
VUSNnETunceeVTN5pwe8,2,will-the-sum-of-shares-on-any-marke-99ccfd2db099
8K5f7ghxQIp4r1QeDsso,13,who-will-win-the-premier-league-202
5EwP8yy82jKdVcc9vE36,11,will-ian-nepomniachtchi-be-the-2023
OUQTxX5ep3HUdwN0WPUs,5,will-the-2-boston-celtics-win-the-2
tRGa3mEmOL7fjF0Saaif,6,will-ukrainian-government-accept-a
ce2kAWoN5Le4bjNuBkdG,5,when-will-season-2s-random-closing
zlbeDYz7J1cyRwZ4D0bS,4,will-donald-trumps-twitter-account
tWfKiLQ1vFIliuEz2Gmp,0,will-destiny-sue-lav
YZZEGvg31yC1SPkjCYhl,7,will-there-be-84000-confirmed-cases
b3NsNbKnjmLLBpcywBO4,17,will-jimmy-carter-be-alive-on-the-4
ohl4qJNxNY4e6Y2p6bXf,4,will-destinys-twitter-account-theom
spvzaBkSwRjC78werlPy,-1,belenkaya-botez
dRdXZtj8UXiXxkoF2rXE,9,sbf-convicted-of-a-felony-before-20
S877GJ9772P7Gj38SKKQ,6,will-the-wagner-group-stop-operatin-ad2bc1b87277
t5iQaxpoluJ0yXsDqk9q,11,formula-1-belgian-grand-prix-which
mpv37fxnCvLFPSL9lFmj,8,who-will-win-the-2023-fiba-mens-wor
o74Up289bg66Bm2ivbWz,2,each-choice-on-this-market-will-res
gcYnnl4R2A0yBp0ARFM7,1,will-ron-desantis-be-the-2024-repub-97d60c81ffe2
EAt51eS8hcW6h9xcYFSQ,5,will-the-denver-nuggets-win-the-fin
bGNob53OQtQSenyoKbXj,2,which-countrys-flag-will-be-the-lar
um9QoVUNVXaA2T7NRwDI,0,will-rachelweinberg-marry-me
2fTX4OadswNdugqgo8zP,3,will-ai-wipe-out-humanity-before-th-6e8e547afa66
tV8TUnUEXherIZzyoywQ,16,will-the-lk99-room-temp-ambient-pre-a3f48bd3c4a8
rctqd0ZaxeeiHP93VP5n,16,will-the-room-temp-superconductor-p
pI4LsxPEGl5sFGzHOpVa,18,manifold-plays-poker-who-will-win-h-af2d360ab4a7
qmNrSaQ7VKuu9CMpITEx,5,will-the-2-boston-celtics-win-game-62777384ac40
Z7gmcmOujRkwtP85uoUg,13,will-manchester-city-win-the-2223-p
aA77t4nhkpBhjIs4dWeH,4,will-there-be-a-ups-workers-strike
Qds0v6iSGUAlwTdNbfg0,0,will-destiny-hit-a-930-on-got-rythm
VwPwZ4eT4gvUg08rP3tb,-1,this-market-will-resolve-in-order-t
Co048SXT8rsBoeVkJMWf,12,will-a-nuclear-weapon-be-launched-i
2imjJDVRzwjqt4oHQLwx,5,will-the-2-boston-celtics-win-their-4a69302869a3
6B9uGk7ghkGk6uMEQfym,-1,will-the-us-economy-grow-in-2023
KU3Zv8dkeljRb0cyCHRc,-1,will-anyone-earn-m1000000-1-million
6dMinXYxX6tEQTLV8UGv,-1,who-will-win-super-bowl-lvii
YMDIKDDCuz2IQUvB0uQY,5,will-the-boston-celtics-make-the-fi
ixDhLuu8EJmC4OQQwRyq,9,will-donald-trump-be-convicted-of-a-99e01f724b3f
HmbOApqNnndHqpCoc7N6,-1,will-lula-da-silva-win-the-2022-bra
lZjF78oclptP8zEMhrq2,5,will-the-2-boston-celtics-defeat-th-81301ad7fffe
ONU3bPMTyw787PT4n0C5,9,will-the-effective-altruism-movemen-ccc7088738a4
VPVaHZ3S3P0uh33nZYYD,2,what-will-the-final-color-be-at-0-0
ZitCaKG82INr7ABgiPsk,14,who-will-be-the-nba-mvp-2023-regula
UTNIaUBUr60Sh2zE2EVe,-1,will-the-fed-cut-rates-in-2023
wiz4XJ42FrJzMN3gjpAT,9,will-trump-be-indicted-by-march-31
T5peleFKczlNTvfRuFbX,4,will-elon-step-down-as-head-of-twit-2e167c2d6adb
DSgSiQHr1l5cwC20Ao30,4,will-elon-musk-step-down-from-being-10664c6dcb9a
otwA0sVjQncQJokWdzjU,2,will-anyone-draw-something-recogniz
5ZwiaRctyYdGPYPftsBA,-1,5-will-there-be-a-lasting-ceasefire
62beEAYnHvnQaE1e0ZBG,4,when-will-the-zuckerberg-vs-musk-fi
LCGP66NqO6S1xCIRKt0w,6,how-will-the-ukrainerussia-border-l
STsLXY6al3EUlDSz46zg,3,will-an-ai-system-be-known-to-have
NmFoJ2UzEeMi5Sd4rokJ,16,what-is-lk99
JAi0Fme4Evjo8542ArS2,1,will-joe-biden-win-the-2024-us-pres-8952413770dd
69D7abJaaEexCxQ2BOZB,-1,will-the-us-debt-ceiling-be-raised-4dfbab873f7b
upAqIZNRqIah2lliB4yH,15,which-will-be-the-hardest-diamond-l
TpD3R0E9ucPPJRXcOmTf,7,18-at-the-end-of-2023-will-predicti
YlYHF2SjXjl7VaRAwlII,3,will-gpt4-be-announced-before-march
MYB5zfMPRY5EJd7CE0ib,9,will-trump-be-indicted-before-he-an
mDwbJO3LviG4eag65be2,-1,will-china-supply-arms-to-russia-in
qJTJAf9vafBmAbwnmiKI,10,will-yevgeny-prigozhin-be-killed-du
kql3ogSCS1okV61CjylQ,5,will-the-2-boston-celtics-win-game-572fb755487f
6mqHY6JUVhiW5y3zX8nx,9,will-trump-be-charged-by-the-doj-fo
kuYsaRmWA2GRZmQo7buW,6,will-russia-control-western-bakhmut-a81cb58414ec
m4PZ1ChlcfgGeXShoxYz,-1,will-bitcoin-reach-10k-before-it-re
KbYlP1q6SkK4lxPqZid3,16,will-the-first-roomtemperature-ambi
Cd6GWDXg7hwpwWVMOdra,6,is-a-natoaligned-or-antirussian-ent
mfON3jpmL8xQXHFt9MXd,10,will-vladimir-putin-die-in-any-way
MslrlWmdpFiL2RUWqVDr,-1,will-kurzgesagt-release-a-video-on
LMIdQsEsTvhZm5lYDgN6,14,who-will-win-the-2023-rugby-world-c
OUf9Ya5ZomERD82qogmA,-1,will-our-forecasting-workshop-get-t
FjvZhtwYBFTmXnUZ1VS0,11,who-will-have-the-yellow-jersey-aft
Aa9wlJFq6C6lb5PyK5Gk,2,this-market-resolves-as-yes-if-some
